,Size,EntryBar,ExitBar,EntryPrice,ExitPrice,PnL,ReturnPct,EntryTime,ExitTime,Duration
203,10,17308,17335,47538.1,47582.01,439.1000000000349,0.0009236801639107561,17308,17335,27
204,11,17481,17523,43312.89,42155.89,-12727.0,-0.02671260218378413,17481,17523,42
205,11,17534,17539,42896.9,42326.24,-6277.260000000038,-0.013303059195419742,17534,17539,5
206,11,17582,17609,43548.02,42304.04,-13683.779999999955,-0.028565707465000645,17582,17609,27
207,11,17658,17684,42953.64,43609.27,7211.929999999971,0.015263665663724835,17658,17684,26
208,11,17689,17810,44907.51,50714.92,63881.50999999996,0.1293193499261036,17689,17810,121
209,10,17814,17907,54035.99,55052.97,10169.800000000032,0.018820419501891283,17814,17907,93
210,9,17935,17975,57452.24,55360.92,-18821.879999999997,-0.036401017610453446,17935,17975,40
211,9,18012,18054,57860.89,61069.99,28881.899999999987,0.055462333883906645,18012,18054,42
212,9,18117,18163,62474.95,65023.22,22934.430000000037,0.04078866809817372,18117,18163,46
213,9,18170,18199,66289.24,61630.01,-41933.07000000003,-0.07028636925087695,18170,18199,29
214,9,18258,18303,61806.28,60312.26,-13446.179999999971,-0.02417262452941671,18258,18303,45
215,8,18338,18348,61087.49,61347.51,2080.1600000000326,0.00425651798756177,18338,18348,10
216,8,18367,18428,61281.18,59931.23,-10799.599999999977,-0.022028785999225198,18367,18428,61
217,8,18433,18486,61962.62,61870.19,-739.4400000000023,-0.0014917058058552257,18433,18486,53
218,8,18565,18661,61182.19,65891.12,37671.439999999944,0.07696569867799741,18565,18661,96
219,8,18673,18769,65399.99,65793.17,3145.4400000000023,0.006011927524759653,18673,18769,96
220,9,18871,18897,58000.0,57794.01,-1853.9099999999817,-0.0035515517241379024,18871,18897,26
221,9,18922,18980,59489.95,56432.31,-27518.759999999995,-0.05139758900452929,18922,18980,58
222,9,18998,19028,57354.82,57963.99,5482.529999999984,0.010621077705413429,18998,19028,30
223,10,19058,19070,54605.43,54579.67,-257.6000000000204,-0.0004717479562014182,19058,19070,12
224,9,19095,19107,56066.99,57221.5,10390.590000000018,0.020591617277831542,19095,19107,12
225,9,19115,19173,58682.9,56497.63,-19667.430000000037,-0.03723861636013226,19115,19173,58
226,10,19287,19324,50729.79,49180.57,-15492.200000000012,-0.030538663771326524,19287,19324,37
227,10,19409,19435,49309.61,48756.34,-5532.700000000041,-0.011220328045587924,19409,19435,26
228,10,19478,19536,48280.22,46990.0,-12902.200000000012,-0.02672357333914388,19478,19536,58
229,10,19629,19732,48548.24,50686.71,21384.70000000001,0.04404835273122165,19629,19732,103
230,10,19755,19811,50069.02,47793.64,-22753.799999999974,-0.045444867904344766,19755,19811,56
231,10,19853,19882,47491.74,47000.01,-4917.299999999959,-0.01035401103433975,19853,19882,29
232,10,19895,19958,46972.19,45973.72,-9984.700000000012,-0.021256620140555516,19895,19958,63
233,11,20067,20118,41905.93,40752.99,-12682.340000000026,-0.02751257399609086,20067,20118,51
234,11,20146,20238,42523.15,42889.22,4026.769999999997,0.00860872254289724,20146,20238,92
235,11,20256,20290,43173.02,42108.49,-11709.829999999987,-0.024657297543697387,20256,20290,34
236,11,20319,20325,42460.89,41699.55,-8374.739999999962,-0.017930382523776545,20319,20325,6
237,10,20360,20367,43275.75,41139.37,-21363.799999999974,-0.04936667764279068,20360,20367,7
238,11,20493,20605,37760.17,37665.0,-1046.8699999999808,-0.0025203806021000252,20493,20605,112
239,11,20712,20719,37859.0,37937.08,858.8800000000192,0.0020623893922184777,20712,20719,7
240,11,20721,20753,40249.04,41462.86,13352.019999999997,0.030157737923687034,20721,20753,32
241,10,20777,20786,41801.49,42401.31,5998.199999999997,0.014349249273171827,20777,20786,9
242,10,20792,20828,43805.26,43321.57,-4836.900000000023,-0.011041824657586852,20792,20828,36
243,10,20857,20892,44189.67,42727.97,-14616.99999999997,-0.033077866388230515,20857,20892,35
244,10,20928,20938,42385.69,42251.4,-1342.9000000000087,-0.003168286277750787,20928,20938,10
245,10,20971,20987,43538.01,44114.3,5762.900000000009,0.013236480032045472,20971,20987,16
246,10,20993,21007,44195.1,43492.2,-7029.000000000015,-0.015904478098250796,20993,21007,14
247,9,21013,21021,44078.6,43600.1,-4306.5,-0.010855607936731237,21013,21021,8
248,11,21112,21124,38367.9,37550.0,-8996.900000000016,-0.021317299096380138,21112,21124,12
249,10,21170,21186,38846.6,36923.7,-19229.000000000015,-0.04949982752673343,21170,21186,16
250,10,21205,21277,38412.7,37947.0,-4656.999999999971,-0.012123594540347282,21205,21277,72
251,10,21289,21357,38279.0,43433.0,51540.0,0.13464301575276272,21289,21357,68
252,10,21386,21397,41511.0,39457.5,-20535.0,-0.04946881549468818,21386,21397,11
253,11,21426,21435,39421.6,38240.0,-12997.599999999984,-0.029973415589423014,21426,21435,9
254,10,21501,21523,41631.4,40709.8,-9215.999999999985,-0.022137136872648955,21501,21523,22
255,10,21541,21547,39588.2,38248.5,-13396.99999999997,-0.03384089198296458,21541,21547,6
256,9,21557,21593,39896.2,38898.8,-8976.599999999948,-0.02499987467478093,21557,21593,36
257,9,21640,21714,39651.6,40520.0,7815.600000000013,0.021900755581111486,21640,21714,74
258,9,21729,21745,41386.2,41690.0,2734.200000000026,0.007340611121581686,21729,21745,16
259,9,21793,21870,41135.3,42968.4,16497.899999999987,0.04456269919023326,21793,21870,77
260,9,21872,22003,43970.7,47191.2,28984.5,0.07324195430138714,21872,22003,131
261,9,22064,22089,46523.6,46300.8,-2005.1999999999607,-0.004788967319811821,22064,22089,25
262,9,22119,22131,46684.5,45985.1,-6294.600000000013,-0.014981417815334908,22119,22131,12
263,10,22205,22257,43533.9,42434.3,-10995.999999999985,-0.025258476727331947,22205,22257,52
264,10,22265,22288,42605.8,42140.3,-4655.0,-0.010925742504541591,22265,22288,23
265,10,22363,22372,41395.3,40913.5,-4818.000000000029,-0.011639002495452466,22363,22372,9
266,10,22431,22436,40390.0,40215.7,-1743.000000000029,-0.0043154246100520766,22431,22436,5
267,10,22470,22601,39312.3,39540.2,2278.999999999942,0.005797167807530812,22470,22601,131
268,10,22681,22711,38960.8,39280.0,3191.999999999971,0.008192850249481465,22681,22711,30
269,10,22785,22855,38489.4,38784.0,2945.9999999999854,0.007654055402266602,22785,22855,70
270,14,23048,23081,29015.0,29493.0,6692.0,0.01647423746338106,23048,23081,33
271,14,23104,23190,30079.5,29338.0,-10381.0,-0.024651340614039507,23104,23190,86
